stage,task,method,seed,score,forgetting
after_task1,task1,none,0,-44.49462012611215,-4.3855168909127045
after_task2,task1,none,0,-40.10910323519945,-4.3855168909127045
after_task2,task2,none,0,-21.196918133961898,
after_task1,task1,experience_replay,0,-44.49462012611215,-8.69990061422832
after_task2,task1,experience_replay,0,-35.794719511883834,-8.69990061422832
after_task2,task2,experience_replay,0,-19.70068435168623,
after_task1,task1,regularization,0,-44.49462012611215,-1.0177172075063936
after_task2,task1,regularization,0,-43.47690291860576,-1.0177172075063936
after_task2,task2,regularization,0,-23.010807733143128,
after_task1,task1,both,0,-44.49462012611215,-4.918605255002767
after_task2,task1,both,0,-39.576014871109386,-4.918605255002767
after_task2,task2,both,0,-20.934877170087898,
after_task1,task1,none,1,-43.55506083516213,1.0901593404613195
after_task2,task1,none,1,-44.64522017562345,1.0901593404613195
after_task2,task2,none,1,-21.97152821051806,
after_task1,task1,experience_replay,1,-43.55506083516213,-2.037307559052863
after_task2,task1,experience_replay,1,-41.51775327610927,-2.037307559052863
after_task2,task2,experience_replay,1,-21.751725901393943,
after_task1,task1,regularization,1,-43.55506083516213,-1.1176375740900681
after_task2,task1,regularization,1,-42.43742326107206,-1.1176375740900681
after_task2,task2,regularization,1,-20.80983273136924,
after_task1,task1,both,1,-43.55506083516213,-1.5648310969440615
after_task2,task1,both,1,-41.99022973821807,-1.5648310969440615
after_task2,task2,both,1,-21.780161823442825,
after_task1,task1,none,2,-44.57477867943063,-3.4324706984585944
after_task2,task1,none,2,-41.142307980972035,-3.4324706984585944
after_task2,task2,none,2,-21.492800994054516,
after_task1,task1,experience_replay,2,-44.57477867943063,-7.999690224508711
after_task2,task1,experience_replay,2,-36.57508845492192,-7.999690224508711
after_task2,task2,experience_replay,2,-19.72245520997265,
after_task1,task1,regularization,2,-44.57477867943063,-1.5175152609918072
after_task2,task1,regularization,2,-43.05726341843882,-1.5175152609918072
after_task2,task2,regularization,2,-22.321333862617553,
after_task1,task1,both,2,-44.57477867943063,0.04593648252378557
after_task2,task1,both,2,-44.620715161954415,0.04593648252378557
after_task2,task2,both,2,-22.76810394168396,
